Headline,Timestamp,URL,isSarcastic
"Boundary changes make East Coast, Marine Parade election battles harder to call","Mar 12, 2025, 10:45 PM",https://www.straitstimes.com/singapore/politics/east-side-shake-up-boundary-changes-make-east-coast-marine-parade-election-battles-harder-to-call,0
Focus of the Jalan Besar team has always been and will be on residents: Josephine Teo,"Mar 12, 2025, 10:12 PM",https://www.straitstimes.com/singapore/politics/focus-of-the-jalan-besar-team-has-always-been-and-will-be-on-residents-josephine-teo,0
Jalan Kayu SMC residents will be looked after as part of AMK extended family: SM Lee,"Mar 12, 2025, 9:59 PM",https://www.straitstimes.com/singapore/politics/jalan-kayu-smc-residents-will-be-looked-after-as-part-of-amk-extended-family-sm-lee,0
"GE2025: WP, PSP and SDP to reveal election plans later after studying boundary changes","Mar 11, 2025, 11:20 PM",https://www.straitstimes.com/singapore/politics/major-opposition-parties-studying-boundaries-report-intend-to-reveal-election-plans-later,0
Opposition parties stake claims over GE2025 constituencies soon after release of boundaries report,"Mar 11, 2025, 10:36 PM",https://www.straitstimes.com/singapore/politics/opposition-parties-stake-early-claims-over-ge2025-constituencies-hours-after-release-of-boundaries,0
"Hot wards of GE2020 rejigged, parties ‘cannot fight old battles’ in potential May election: Observers","Mar 11, 2025, 10:30 PM",https://www.straitstimes.com/singapore/politics/hot-wards-of-ge-2020-rejigged-parties-cannot-fight-old-battles-in-potential-may-ge-observers,0
"Marine Parade GRC to absorb MacPherson SMC, cede parts of Chai Chee, Siglap","Mar 11, 2025, 3:59 PM",https://www.straitstimes.com/singapore/politics/marine-parade-grc-to-absorb-macpherson-smc-cede-parts-of-chai-chee-siglap,0
GE2025: Which constituency are you in?,"Mar 11, 2025, 3:28 PM",https://www.straitstimes.com/singapore/politics/singapore-ge2025-how-have-the-electoral-boundaries-changed,0
Opposition wards largely untouched; slight change to Aljunied GRC’s boundaries,"Mar 11, 2025, 3:19 PM",https://www.straitstimes.com/singapore/politics/ebrc-report-opposition-wards-largely-untouched-slight-change-to-aljunied-grcs-boundaries,0
"6 new SMCs for GE2025, five single seats gone","Mar 11, 2025, 3:15 PM",https://www.straitstimes.com/singapore/politics/6-new-smcs-for-ge2025-five-single-seats-gone,0
"East Coast GRC absorbs Joo Chiat ward, Chai Chee areas from Marine Parade GRC","Mar 11, 2025, 3:04 PM",https://www.straitstimes.com/singapore/politics/joo-chiat-hived-off-from-marine-parade-absorbed-into-east-coast-grc,0
